id;name(название);specialization(специализация);responsibilities(Должностные обязанности);requirements(Требования к соискателю);terms(Условия);notes(Примечания);;;
9495846;Арматурщик;Арматурщик;Работа на строительных площадках. Очистных сооружениях.;;;Работа на строительных площадках. Очистных сооружениях.;;;
9495850;Арматурщик;Арматурщик;Гнутье арматурной стали на механических станках при количестве отгибов на одном стержне более четырех. Сборка и установка сеток и плоских...;;;;;;
9495851;Арматурщик;Арматурщик;Вязка арматуры.;;;;;;
2;Арматурщик;Арматурщик;Выполнение работ по гнутью и резке арматурной стали на ручных, электромеханических и электрических станках. Выполнение работ по сборке и вязке арматурных сеток и плоских арматурных каркасов.;Выполнение работ по гнутью и резке арматурной стали на ручных, электромеханических и электрических станках;;\N;;;
9388857;Арматурщик;Арматурщик Вахта в мcк (питание+проживание) 60/30;"Вахта в город Москва.  Обязанности: - армирование каркаса;  Требования: - опыт в строительстве приветствуется; - работа в бригаде;  Условия: - продолжительность вахты 60/30 (продление вахты возможно); - Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;";"опыт в строительстве приветствуется; работа в бригаде";продолжительность вахты 60/30 (продление вахты возможно);"Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;";;;
9388861;Арматурщик;Арматурщик Вахта спб г. Подпорожье;"Требуется АРМАТУРЩИК на крупнейший завод по производству железобетонных конструкций 3-4 разряда!  Ставка за смену 3080 руб при графике 6/1 по 11 часов.  Предоставляем час обеда + перерывы 10-15 мин. Обязанности: Вязка арматуры для заливки конструкции железобетонных изделий.  Требования: Опыт работы от 1 года , наличие удостоверения (документы должны присутствовать + запись в трудовой книжке). Желание работать и зарабатывать Условия:  Работа вахтой от 45/60/90/120 смен; - Трудоустройство и заселение в общежитие в день обращения; - Бесплатное проживание в комфортном общежитии (постельное бельё предоставляем);  - Питание 1 раз в день предоставляется на заводе - В общежитии есть кухня и все необходимое для приготовления пищи; - Работа в закрытом теплом цехе - Удобный график работы ночь или день; -Вахта от 45 смен, зп на руки 138 600. Иногородним предоставляется проживание бесплатное в общежитии  Объект расположен по адресу : гор. Подпорожье Ленинградская область.  Рассматриваем кандидатов с опытом работы: арматурщик, строитель, разнорабочий. работа вахтой в Санкт-Петербурге, вакансия вахта, вахтовый метод, вахта прямой работодатель, работа вахтой без опыта, работа с проживанием прямой работодатель, работа вакансии, работа вахтой вакансии, разнорабочий, рабочий, сборщик, подсобный рабочий, работник завода,работа в москве и подмосковье вахтой.формовщик";Опыт работы от 1 года , наличие удостоверения (документы должны присутствовать + запись в трудовой книжке);Желание работать и зарабатывать Условия:  Работа вахтой от 45/60/90/120 сме;Ставка за смену 3080 руб при графике 6/1 по 11 часов.  Предоставляем час обеда + перерывы 10-15 мин;;;
9388874;Арматурщик;Арматурщик вахта в Амур проживание + проезд;"Почепта Дальневосточной железной дороги  Мост 1222. армирование каркаса  Обязанности:  - Строительство Ж/Д путей; - бетонирование опор.  Требования: -опыт в строительстве приветствуется -работа в бригаде  Условия: - продолжительность вахты 60/30 (продление вахты возможно) - Официальное трудоустройство. - ЗП в срок и без задержек - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа - Питание трехразовое за счет организации - выдача спецодежды и Сизов без вычета из заработной платы - Организованные отправки до объекта (покупка билетов) - Помощь в прохождение медицинского осмотра - Возможность получить квалификационные удостоверения - Карьерный рост до бригадира/мастера";опыт в строительстве приветствуется -работа в бригаде;продолжительность вахты 60/30 (продление вахты возможно);"Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;  Иногородним предоставляется проживание бесплатное в общежитии  Объект расположен по адресу : гор. Подпорожье Ленинградская область.  Рассматриваем кандидатов с опытом работы: арматурщик, строитель, разнорабочий. работа вахтой в Санкт-Петербурге, вакансия вахта, вахтовый метод, вахта прямой работодатель, работа вахтой без опыта, работа с проживанием прямой работодатель, работа вакансии, работа вахтой вакансии, разнорабочий, рабочий, сборщик, подсобный рабочий, работник завода,работа в москве и подмосковье вахтой.формовщик";;;
9388888;Арматурщик;Арматурщик Вахта в мcк (питание+проживание) 60/30;"Вахта в город Москва.  Обязанности: - армирование каркаса;  Требования: - опыт в строительстве приветствуется; - работа в бригаде;  Условия: - продолжительность вахты 60/30 (продление вахты возможно); - Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;";"опыт в строительстве приветствуется; - работа в бригаде";продолжительность вахты 60/30 (продление вахты возможно);" Официальное трудоустройство; - ЗП в срок и без задержек; - Авансирование дважды в месяц по 15 000 рублей, 15 и 30 числа; - Питание трехразовое за счет организации; - Выдача спецодежды и Сизов без вычета из заработной платы; - Организованные отправки до объекта (покупка билетов); - Помощь в прохождение медицинского осмотра; - Возможность получить квалификационные удостоверения; - Карьерный рост до бригадира/мастера;";;;
9496164;Асфальтобетонщик (3,4,5 разряд);Асфальтобетонщик;Подготовка участка к укладке дорожного покрытия. Проведение вспомогательных работ в процессе строительства и ремонта дорожных покрытий. Осуществление мелкого ремонта дорожного...;;;;;;
9496155;Асфальтобетонщик-варильщик с функциями дорожного рабочего;Асфальтобетонщик;Приготовление асфальтовых смесей на передвижных установках. Все виды работ с бетоном, асфальтом, бордюрами, поребриками, эмульсией. Подготовка дорожного основания под асфальтирование. ;;;;;;
9496169;Бетонщик;Бетонщик;Бетонирование бетонных и железобетонных монолитных конструкций. Земляные работы под устройство фундамента. Устройство опалубки. Армирование. Демонтажные работы.;;;;;;
9336413;Бетонщик;Бетонщики вахтой в Москву;Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)  · Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре);Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка);Продолжительность вахты 60/30, 90/30 (можно больше);Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)  · Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре);;;
9336456;Бетонщик;Бетонщик-арматурщик вахта;"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.  ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;  - Монтаж опалубки.  Требования:  - Соблюдение трудовой и бытовой дисциплины;  Условия:  - ВАХТА! 60/30;  - График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты";;;;;;
9336457;Бетонщик;Бетонщик-арматурщик вахта;"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.  ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;  - Монтаж опалубки.  Требования:  - Соблюдение трудовой и бытовой дисциплины;  Условия:  - ВАХТА! 60/30;  - График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты";;;;;;
9336458;Бетонщик;Бетонщик-арматурщик вахта;"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.  ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;  - Монтаж опалубки.  Требования:  - Соблюдение трудовой и бытовой дисциплины;  Условия:  - ВАХТА! 60/30;  - График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты";Соблюдение трудовой и бытовой дисциплины;"ВАХТА! 60/30;  - График работы 7/0 по 11 часов";"Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты";;;
9336509;Бетонщик;Бетонщик-арматурщик на вахту;"В крупную динамично развивающуюся компанию требуются сотрудники для выполнения госзаказа на крупном строительном объекте в г.Москва.  Что мы предлагаем:  - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.  Что предстоит делать:  - армирование каркаса, монолитные работы.  Что нужно знать и уметь:  - опыт работы на строительных объектах.  ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ!  ЗВОНИТЕ ПРЯМО СЕЙЧАС!";опыт работы на строительных объектах.  ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ!  ЗВОНИТЕ ПРЯМО СЕЙЧАС!;график работы – ВАХТОВЫЙ 60/30, 90/30;"предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.  Что предстоит делать:  - армирование каркаса, монолитные работы";;;
9336512;Бетонщик;Бетонщик-арматурщик на вахту;"В крупную динамично развивающуюся компанию требуются сотрудники для выполнения госзаказа на крупном строительном объекте в г.Москва.  Что мы предлагаем:  - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.  Что предстоит делать:  - армирование каркаса, монолитные работы.  Что нужно знать и уметь:  - опыт работы на строительных объектах.  ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ!  ЗВОНИТЕ ПРЯМО СЕЙЧАС!"; - армирование каркаса, монолитные работы.  Что нужно знать и уметь:  - опыт работы на строительных объектах.;" - официальное трудоустройство по ТК РФ с 1-го рабочего дня;  - график работы – ВАХТОВЫЙ 60/30, 90/30;  - предоставляется благоустроенное жилье за счет компании;  - предоставляется бесплатное комплексное горячее 3-х разовое питание;  - предоставляется бесплатная спецодежда и обувь по сезону и специфике работ;  - покупка билетов на вахту и в межвахтовый отпуск;  - авансирование 15 и 30 (31) числа без задержек;  - медосмотр за счет работодателя;  - проживание в 10 минутах ходьбы от места работы;  - сертифицированные рабочие места в соответствии с требованиями охраны труда;  - повышение квалификации и аттестация в лицензированном учебном центре компании;  - обучение дополнительным профессиям за счет компании.";ДОБРО ПОЖАЛОВАТЬ В НАШУ БОЛЬШУЮ КОМАНДУ!  ЗВОНИТЕ ПРЯМО СЕЙЧАС!;;;
9336526;Бетонщик;Бетонщики вахтой в Москву;Крупной Федеральной Компании для работы ВАХТОВЫМ МЕТОДОМ на строительные участки требуются специалисты:  Обязанности:  · Работы на монолите (заливка бетона, укладка и вязка арматуры)  · Монтажные работы (МК/ЖБК)  · Общестроительные работы и вспомогательные работы  Требования:  · Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка)  Условия:  · Продолжительность вахты 60/30, 90/30 (можно больше)  · Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)  · Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре); Понимание работы в бригаде  · Дисциплинированность, трудолюбие  · Опыт работы в строительстве будет преимуществом  · (готовы рассмотреть кандидатов и без опыта работы, всему научим, в перспективе карьерный рост до бригадира/мастера участка); Продолжительность вахты 60/30, 90/30 (можно больше);Официальное трудоустройство по ТК РФ с первой рабочей смены  · ЗП строго в срок и без задержек (документальное подтверждение в трудовом договоре)  · Авансирование (15 и 30го числа каждого месяца по 15000 р.)  · Обеспечим сезонной спецодеждой и СИЗами без вычетов из ЗП  · Организованное трехраховое горячее питание за счет компании  · Организованные отправки до объектов (покупаем билеты на вахту/с вахты)  · Помощь в прохождении мед. осмотра (при необходимости)  · Возможность получить квалификационное удостоверение (обучение основным и смежным специальностям в нашем аккредитованном учебном центре);;;
9336550;Бетонщик;Бетонщик;"Обязанности:  — Устройство бетонных полов, приямков, опалубки, вязание арматурных каркасов; — Бетонные работы.  Требования:  — Образование среднее профессиональное или начальное образование по данной специальности; — Опыт работы в от 2 лет будет вашим преимуществом; — Разряд по специальности не менее 4 желателен; — Желательно наличие удостоверения на право работы бетонщиком; — В случае отсутствия удостоверения-наличие записей в трудовой книжке, подтверждающие опыт работы по данной специальности и разряд.  Условия:  — Вахтовый метод работы 30/30 в Хабаровском крае, Комсомольский район; — Официальное трудоустройство; — Проживание, питание на территории вахтового поселка за счет работодателя; — Компенсация проезда до места работы и обратно; — Возмещение затрат за прохождение медицинской комиссии; — Трудоустройство в г.Хабаровск. ";"Образование среднее профессиональное или начальное образование по данной специальности; — Опыт работы в от 2 лет будет вашим преимуществом; — Разряд по специальности не менее 4 желателен; — Желательно наличие удостоверения на право работы бетонщиком";Вахтовый метод работы 30/30 в Хабаровском крае, Комсомольский район;" Официальное трудоустройство; — Проживание, питание на территории вахтового поселка за счет работодателя; — Компенсация проезда до места работы и обратно; — Возмещение затрат за прохождение медицинской комиссии; — Трудоустройство в г.Хабаровск. ";;;
9336564;Бетонщик;Бетонщики (Вахта,питание, проживание,проезд);Срочно требуются бетонщики- монолитчики на работу вахтовым методом!   Tpeбования : Опыт рабoты на монолите. Навыки вязки арматуры и установки опалубки. Умение читать чертежи является преимуществом. У вас будет: - Высокий и стабильный заработок: от 80000 руб. - Комфортные условия проживания за наш счет. - Питание – за наш счет - Компенсация проезда до места вахты.  Рассматриваем также готовые бригады! Честную оплату труда - гарантируем!;Опыт рабoты на монолите. Навыки вязки арматуры и установки опалубки. Умение читать чертежи является преимуществом.;Высокий и стабильный заработок: от 80000 руб. - Комфортные условия проживания за наш счет. - Питание – за наш счет - Компенсация проезда до места вахты.;Рассматриваем также готовые бригады! Честную оплату труда - гарантируем!;;;
9336594;Бетонщик;Бетонщик-арматурщик вахта Москва;"В стабильную, развивающуюся компанию требуются Бетонщики-Арматурщики на строительные объекты в Москве  Рассмотрим кандидатов как с опытом работы, так и без него.  ВАХТОВЫЙ МЕТОД РАБОТЫ 60/30  З/п за месяц - 67 000 на руки  З/п за вахту - 134 000 на руки  Обязанности:  - Армирование, бетонирование;  - Монтаж опалубки.  Требования:  - Соблюдение трудовой и бытовой дисциплины;  Условия:  - ВАХТА! 60/30;  - График работы 7/0 по 11 часов  - Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты";Соблюдение трудовой и бытовой дисциплины;" ВАХТА! 60/30;  - График работы 7/0 по 11 часов";"Прямой работодатель, ОФИЦИАЛЬНОЕ трудоустройство по ТК РФ  - Выплата заработной платы БЕЗ ЗАДЕРЖЕК. Оплата по часовой ставке , выплачивается стабильно 2 раза в месяц ;  - Проживание за счет компании  - Питание за счет компании  - Спецодежда за счет компании  - Покупаем билеты на вахту/с вахты";;;
9336663;Бетонщик;Бетонщик на стройку;"Обязанности:  — Подготовительные работы, вязка арматуры, заливка бетона, опалубка и т.п.  — Строительство мостов, путепроводов, ливневки, водостоки, коммуникации  Требования:  — Опыт работы бетонщиком/арматурщиком, разнорабочим на стройке  Условия:  — Выдаются авансы  — График работы 30/15 ; 45/15- ВАХТА  — Официальное оформление по ТК РФ  — Горячее питание два раза в день  — Спецодежда со второй вахты  На вакансию рассматриваем кандидатов с опытом работы бетонщика, арматурщика, бетонщика /арматурщика, бетонщики /монолитчики, арматурщик /монолитчик, подсобный рабочий, рабочий стройки.";Опыт работы бетонщиком/арматурщиком, разнорабочим на стройке;"График работы 30/15 ; 45/15- ВАХТА";Официальное оформление по ТК РФ  — Горячее питание два раза в день  — Спецодежда со второй вахты;;;
