Название вакансии,responsibilities
Арматурщик,"На работающую станцию кузовного ремонта со стабильным потоком автомобилей премиум класса, требуется доукомплектовать штат <highlighttext>арматурщиков</highlighttext>. Просьба откликаться или звонить людям... Работы по разборке/сборке автомобилей премиум сегмента под покраску. Замена стекл, разборка/сборка салона, разборка/сборка кузова и кузовных эл..."
Арматурщик,Опыт работы. Армирование стен и перекрытий. Работа в бригаде монолитчиков на строительном объекте.
Арматурщик,"Монтаж лестничных маршей и площадок, рядовых крупных блоков стен и балконных блоков."
Арматурщик (Северск),"Армирование, бетонирование, плотничество, монтаж, сварные работы, шлифовка."
Арматурщик,Умение аккуратно собирать автомобили(выставление зазоров). Опыт работы с автомобилями премиум и бизнес класса. Разборка/сборка авто.
Арматурщик,Опыт работы от 6 месяцев. 1. Арматурные работы. 2. Регулировка положения навесных деталей а/м. Дисциплина.
Арматурщик,"Монтаж лестничных маршей и площадок, рядовых крупных блоков стен и балконных блоков."
Арматурщик (Северск),"Армирование, бетонирование, плотничество, монтаж, сварные работы, шлифовка."
Арматурщик (Северск),"Армирование, бетонирование, плотничество, монтаж, сварные работы, шлифовка."
Арматурщик-бетонщик,Навыки и опыт работы <highlighttext>арматурщиком</highlighttext>-бетонщиком. Дисциплина. Добросовестная работа. Работа в строительной бригаде на строительстве Жд платформы.
Арматурщик,Опыт работы на аналогичной должности от 1 года. Удостоверение по специальности. Монтаж/демонтаж опалубки. Изготовление и сборка арматурных каркасов. Укладка бетонной смеси.
Арматурщик,"Профессионализм, опыт работы. Ответственность, исполнительность. Строительство монолитно-кирпичного жилого дома (комплекса) со встроенно-пристроенными помещениями, подземным гаражом: Выполнение комплекса монолитных работ при строительстве каркаса монолитного..."
Арматурщик,"Если нет времени позвонить - пишите на Viber, WhatsApp, Телеграмм. ОТВЕТИМ НА ВСЕ ВОПРОСЫ!"
Арматурщик,"Если нет времени позвонить - пишите на Viber, WhatsApp, Телеграмм. ОТВЕТИМ НА ВСЕ ВОПРОСЫ!"
Арматурщик,"Знание устройства автомобиля (Mercedes, BMW, AUDI). Средне-техническое образование. Порядочность. Внимательность. Ответственность. Желание развиваться и достигать поставленных целей! Частичный разбор Mercedes, BMW, AUDI (разбор ходовой части, дверей). Замер компрессии двигателя. Поддержание порядка на рабочем месте."
"Арматурщик на стройку, Казань","Ответственный подход к выполнению трудовых обязанностей. ОПЫТ РАБОТЫ БУДЕТ ПРЕИМУЩЕСТВОМ, НО ЕСЛИ ОПЫТА НЕТ МЫ ВСЕМУ ОБУЧАЕМ (ПОСЛЕ ОБУЧЕНИЯ ВЫДАЕМ... КОМПЕНСИРУЕМ билет до КАЗАНИ ( сохрани чек ). Оформление и заселение в день визита, со след дня выходите на работу. "
Бетонщик-арматурщик,"опыт работы в монолите обязателен. - опыт работы на крупных режимных объектах. - умение выполнять свои обязательства. строгое соблюдение ТБ, ПБ, режима объекта."
Арматурщик / специалист по шумоизоляции,Опыт работы в шумоизоляции. Прямые руки и желание зарабатывать. Требования: Опыт от года. Арматурные навыки (качественный разбор и сбор салона... 
Автожестянщик-арматурщик,"Разбор и дефектовка автомобиля, далее ремонт и замена кузовных элементов и далее сборка с выставлением всех зазоров с последующей передачей... Сборка-разборка автомобиля. Сложные жестяные работы. Замена лонжеронов. Замена задних крыльев. Замена порогов. Выставление геометрии кузова. Ремонт лобовых ударов, боковых..."
Арматурщик,"ЖЕЛАНИЕ зарабатывать. - ""практический"" стаж вождения от 3 лет, в том числе механика. - ОТЛИЧНОЕ знание устройства автомобилей. разборка/сборка автомобиля. - соблюдение сроков и качества ремонта, а так же стандартов производителя и дилерского центра."
Арматурщик,"Знание технологии проведения работ. Опыт работы в кузовном ремонте. Умение работать со специализированным оборудованием.. Самостоятельность, ответственность, желание работать на результат. Кузовной ремонт. Разборка и сборка автомобиля для устранения дефектов кузова. Поддержание чистоты и порядка на своем рабочем месте."
Арматурщик,модули) в шагoвoй доступнocти(новые).
